epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.32864,1.20016,2.34149,1.57432,0.76008,0.83333,0.88931,0.63062,1.43153,1.39866,1.27495,0,0,0
2,2.43858,0.90993,2.25478,1.27077,0.79374,0.75,0.87542,0.6421,1.45975,1.40784,1.28807,1.07219e-06,1.07219e-06,1.07219e-06
3,3.58737,0.8883,1.91887,1.20913,0.77435,0.75,0.87551,0.62171,1.47361,1.4378,1.29538,1.90876e-06,1.90876e-06,1.90876e-06
4,4.71479,1.16146,2.45517,1.49404,0.73198,0.75,0.87502,0.6243,1.49834,1.46443,1.3077,2.50971e-06,2.50971e-06,2.50971e-06
5,5.84104,0.87218,1.67087,1.14566,0.72182,0.75,0.8751,0.61221,1.51805,1.48705,1.31544,2.87504e-06,2.87504e-06,2.87504e-06
6,6.98784,1.02861,1.83379,1.39121,0.70617,0.75,0.88915,0.61286,1.5298,1.52939,1.32094,3.00475e-06,3.00475e-06,3.00475e-06
7,8.15483,0.83464,2.24881,1.23005,0.68766,0.75,0.88928,0.61056,1.53168,1.56208,1.33003,2.89884e-06,2.89884e-06,2.89884e-06
8,9.32339,0.84062,1.7047,1.23691,0.67106,0.75,0.88965,0.59858,1.54243,1.64951,1.35057,2.55731e-06,2.55731e-06,2.55731e-06
9,10.5103,0.88592,3.26467,1.34819,0.69425,0.75,0.83887,0.58884,1.53795,1.67003,1.34889,1.98016e-06,1.98016e-06,1.98016e-06
10,11.6559,0.94882,2.15244,1.30495,0.71297,0.75,0.76645,0.58907,1.53251,1.69716,1.33985,1.16739e-06,1.16739e-06,1.16739e-06
