epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.652,1.46227,2.438,1.13449,0.43162,0.24708,0.17979,0.10662,1.47236,1.70834,1.12148,0.000207071,0.000207071,0.000207071
2,1348.05,1.34934,1.44189,1.08626,0.42976,0.32524,0.29312,0.18701,1.39563,1.34014,1.09791,0.000407179,0.000407179,0.000407179
3,2050.52,1.31449,1.30648,1.07568,0.30006,0.43479,0.29217,0.18468,1.36037,1.3439,1.09846,0.000599037,0.000599037,0.000599037
4,2754.29,1.29049,1.22391,1.06752,0.35996,0.42925,0.33404,0.21478,1.37729,1.31614,1.10054,0.000587875,0.000587875,0.000587875
5,3412.09,1.28118,1.13218,1.0663,0.41966,0.44987,0.35635,0.23516,1.34373,1.28459,1.07472,0.0005755,0.0005755,0.0005755
6,6962.43,1.24879,1.07927,1.05234,0.33106,0.45589,0.38701,0.26127,1.36153,1.19439,1.08366,0.000563125,0.000563125,0.000563125
7,7613.3,1.24333,1.02003,1.0516,0.38661,0.4702,0.36303,0.24059,1.37612,1.25442,1.08496,0.00055075,0.00055075,0.00055075
8,11998.6,1.21503,0.97132,1.04108,0.40911,0.48108,0.4015,0.26618,1.3236,1.11611,1.08708,0.000538375,0.000538375,0.000538375
9,12669.5,1.21693,0.94906,1.0475,0.42909,0.45724,0.38172,0.25459,1.33487,1.23841,1.08646,0.000526,0.000526,0.000526
10,13372,1.19646,0.90387,1.03666,0.4232,0.50214,0.4074,0.27461,1.32373,1.17182,1.07659,0.000513625,0.000513625,0.000513625
11,14093.8,1.18468,0.87336,1.02846,0.44281,0.49313,0.38694,0.26397,1.30667,1.20986,1.06976,0.00050125,0.00050125,0.00050125
12,14837.7,1.19521,0.87126,1.03645,0.45432,0.49933,0.40238,0.27866,1.31016,1.25777,1.07033,0.000488875,0.000488875,0.000488875
13,15581.2,1.17049,0.83953,1.02817,0.44265,0.50652,0.38021,0.26052,1.29581,1.20728,1.08253,0.0004765,0.0004765,0.0004765
14,16305.1,1.16863,0.8155,1.02194,0.47658,0.51288,0.40501,0.27492,1.29682,1.20039,1.08003,0.000464125,0.000464125,0.000464125
15,17039.3,1.16354,0.80013,1.02468,0.44723,0.50179,0.39537,0.27216,1.30117,1.25252,1.07423,0.00045175,0.00045175,0.00045175
